,name,url_key,title,brand,description,model,product_category,thumb_url,small_image_url,highest_bid_amount,highest_bid_updated_at,lowest_ask_amount,lowest_ask_updated_at,express_expedited_count,express_standard_count,express_standard_lowest_amount,annual_avg_price,annual_volatility,annual_sales_count,annual_price_premium,last72h_sales_count,last_sale_amount,release_date
0,Slate Grey,adidas-yeezy-slide-slate-grey,adidas Yeezy Slide Slate Grey,adidas,"The adidas Yeezy Slide Slate Grey is a collaboration between adidas and Kanye West.<br>​<br>​The Slide Slate Grey adidas Yeezy comes in a slate grey color palette. The shoe features an upper constructed from a single piece of molded EVA foam, offering a lightweight and durable design. The slide's design features strategic cutouts and a breathable lining. The slide's outsole features a textured pattern that provides traction and stability. The Yeezy Slide features an effortless slip-on design for easy wear and removal.<br>​<br>​What we love about the adidas Yeezy Slide Slate Grey is its minimalist and sleek design. The slide is crafted with a one-piece construction, featuring a soft and comfortable foam compound for the upper, while the Slate Grey colorway adds a versatile and understated aesthetic. The adidas Yeezy Slide Slate Grey was released in 2023, and sold for a retail price of $70.",adidas Yeezy Slide,sneakers,https://images.stockx.com/images/adidas-Yeezy-Slide-Slate-Grey-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/adidas-Yeezy-Slide-Slate-Grey-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,96.0,2025-02-20T18:30:39Z,71.0,2025-02-25T06:27:31Z,71,146,89.0,99,0.157436,72383,0.986,133,133,2024-03-21
1,Military Blue (2024),air-jordan-4-retro-military-blue-2024,Jordan 4 Retro Military Blue (2024),Jordan,"The Air Jordan 4 Retro Military Blue 2024 stands as a beacon of Jordan Brand's innovation and style. It features an off-white leather base contrasted with the striking military blue splashed on the eyelet wings, heel, and parts of the midsole, creating a look of disciplined yet daring design. The neutral grey touches on the forefoot and outsole balance the aesthetic, highlighting the sneaker's clean lines and geometric shapes.<br><br>Every detail is meticulously crafted, with the Jumpman logo on the tongue, the 'Flight' script on the tongue's underside, and a visible Air-Sole unit encased in the sole—all of which are hallmarks of the Jordan brand's dedication to quality and performance. The industrial blue mesh inserts not only offer breathability but also complement the sneaker's color scheme, adding both function and flair. The beloved Nike Air logo graces the heel and stays true to the original 1989 iteration.<br><br>Released on May 4, 2024, at a retail price of $215, the Air Jordan 4 Retro Military Blue quickly ascended to iconic status. Collectors and sneaker enthusiasts eagerly celebrated the revival of the military blue colorway on a timeless model.",Jordan 4 Retro,sneakers,https://images.stockx.com/images/Air-Jordan-4-Retro-Military-Blue-2024-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/Air-Jordan-4-Retro-Military-Blue-2024-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,227.0,2025-02-19T01:12:47Z,133.0,2025-02-25T06:54:45Z,40,423,133.0,227,0.06576,58600,0.023,172,210,2024-05-04
2,Dark Onyx,adidas-yeezy-slide-dark-onyx,adidas Yeezy Slide Dark Onyx,adidas,"Step into unparalleled comfort and minimalist style with the adidas Yeezy Slide Dark Onyx. This sleek, monochromatic slide is the epitome of understated luxury, featuring a uniform dark onyx colorway that pairs effortlessly with any casual outfit. The Yeezy Slide's design focuses on simplicity and functionality, offering a sophisticated take on casual footwear.<br><br>Crafted for those who value both style and comfort, the adidas Yeezy Slide Dark Onyx is built with a plush material that molds to the shape of your foot, ensuring all-day comfort. Its minimalist aesthetic is complemented by the slide's practicality, making it the perfect choice for a relaxed day out or a cozy evening at home. The adidas Yeezy Slide has quickly become a staple in the wardrobe of the fashion-forward, thanks to its versatile design and unparalleled comfort.<br><br>Since its release on March 7, 2024, with a retail price of $70, the adidas Yeezy Slide Dark Onyx has established itself as a must-have for sneaker enthusiasts and style mavens alike. Its release has been met with enthusiasm, solidifying its status as a timeless piece of casual footwear. If you're seeking a blend of simplicity, comfort, and style, the adidas Yeezy Slide Dark Onyx is a choice that delivers on all fronts.",adidas Yeezy Slide,sneakers,https://images.stockx.com/images/adidas-Yeezy-Slide-Dark-Onyx-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/adidas-Yeezy-Slide-Dark-Onyx-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,123.0,2025-02-24T17:31:01Z,97.0,2025-02-25T08:02:16Z,240,572,98.0,105,0.149026,57936,0.914,137,128,2024-03-07
3,White Thunder,air-jordan-4-retro-white-thunder,Jordan 4 Retro White Thunder,Jordan,"The Jordan 4 Retro White Thunder reimagines the iconic Jordan 4 silhouette with a sleek and modern twist. Drawing inspiration from the beloved Black and Yellow Thunder 4s that last dropped in 2023, this new iteration brings a bold contrast with its black nubuck upper, complemented by crisp white accents. This sneaker features a white midsole that sharply contrasts with the black outsole, creating a look that’s both striking and versatile. The iconic Jumpman logo on the heel and tongue patch serves as a nod to the rich heritage of the Jordan brand, making this release a must-have for fans and collectors alike. <br><br>The Jordan 4, originally released in 1989, has long been a favorite among sneaker enthusiasts and basketball fans. Known for its unique design elements like the mesh paneling, visible Air unit, and supportive wings, the Jordan 4 has cemented its place in sneaker history. The White Thunder edition continues this legacy, offering a fresh take on a classic model that resonates with a new generation of sneakerheads. The predominantly black upper not only enhances the sneaker’s sleek look but also adds a touch of sophistication that makes it perfect addition to any outfit. <br><br>Released on August 24, 2024, the Jordan 4 Retro White Thunder retailed at $215.This release is a perfect blend of heritage and modern style, making it an essential addition to any sneaker rotation. Whether you’re a die-hard Jordan fan or new to the game, the White Thunder colorway offers something special that’s sure to turn heads.",Jordan 4 Retro,sneakers,https://images.stockx.com/images/Air-Jordan-4-Retro-White-Thunder-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/Air-Jordan-4-Retro-White-Thunder-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,282.0,2025-02-15T13:12:37Z,242.0,2025-02-25T08:05:42Z,41,162,298.0,261,0.053407,53691,0.502,157,309,2024-08-24
4,Onyx,adidas-yeezy-foam-rnnr-onyx,adidas Yeezy Foam RNR Onyx,adidas,"The adidas Yeezy Foam RNR Onyx arrives with an Onyx, oval-cut foam construction made of part EVA and algae. At the base, a cushioned footbed offers comfort and support, while a sculptural sole with deep treads provides traction.
<br>
<br>
The adidas Yeezy Foam RNR Onyx released in June of 2022 and retailed for $80 and in March of 2024 and retailed for $90.",adidas Yeezy Foam RNR,sneakers,https://images.stockx.com/images/adidas-Yeezy-Foam-RNNR-Onyx-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/adidas-Yeezy-Foam-RNNR-Onyx-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,73.0,2025-02-25T06:13:57Z,82.0,2025-02-25T06:32:59Z,15,718,99.0,99,0.082788,50221,-0.022,228,84,2024-03-07
5,Onyx,adidas-yeezy-slide-black-onyx,adidas Yeezy Slide Onyx,adidas,"First revealed in February 2022 at the Donda 2 listening event in Miami, the adidas Yeezy Slide Onyx features an all-black foam construction with a soft footbed for comfort. At the base, a grooved outsole adds stability and responsiveness.
<br>
<br>
The adidas Yeezy Slide Onyx released in March of 2022 and retailed for $60.",adidas Yeezy Slide,sneakers,https://images.stockx.com/images/adidas-Yeezy-Slide-Black-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/adidas-Yeezy-Slide-Black-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,139.0,2025-02-24T00:35:32Z,98.0,2025-02-06T18:36:46Z,37,154,124.0,124,0.343879,48606,0.733,191,100,2024-05-27
6,White,nike-air-force-1-low-white-07,Nike Air Force 1 Low '07 White,Nike,"The Nike Air Force 1 Low White ‘07 features an all-white leather upper with a perforated toe box and Swoosh overlays. A Nike heel embroidery and white sole completes the design.
<br>
<br>
The Nike Air Force 1 Low White ‘07 originally released in 2007, but since it is an essential colorway to the brand, it consistently restocks.
<br>
<br>
To shop all Nike Air Force 1 shoes, <a href=""https://stockx.com/nike/air-force/1"">click here.</a> ",Nike Air Force 1 Low '07,sneakers,https://images.stockx.com/images/Nike-Air-Force-1-Low-White-07_V2-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/Nike-Air-Force-1-Low-White-07_V2-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,75.0,2025-02-25T06:34:28Z,75.0,2025-02-25T13:11:53Z,10,279,113.0,85,0.131219,46591,-0.189,262,89,2020-12-09
7,Legend Blue (2024),air-jordan-11-retro-legend-blue-2024,Jordan 11 Retro Legend Blue (2024),Jordan,"The Jordan 11 Retro Legend Blue (2024), also known as the Columbia 11s, is easily one of the most well known and beloved colorways of the Jordan 11 ever produced. Dating back to 1996, this sneaker has only retro'd twice since then, with the latest version being 10 years ago in 2014. <br><br> The Legend Blue 11s feature an all white upper with white laces and an icy blue sole. The Jumpman logo pops in a Legend Blue accent as the finishing touch on this clean colorway. Jordan was famously spotted wearing these for the first time in the 1996 All-Star game, donning the now-iconic teal blue jerseys as the East defeated the West in San Antonio by a score of 129 to 118, in which Jordan was the game's MVP. <br><br> The Jordan 11 Retro Legend Blue (2024) released on December 14th, 2024, for a retail price of $230. Our experts love this sneaker due to its storied history and infrequent retro releases, making this sneaker likely to be ever-more collectible as the years go on.",Jordan 11 Retro,sneakers,https://images.stockx.com/images/Air-Jordan-11-Retro-Legend-Blue-2024-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/Air-Jordan-11-Retro-Legend-Blue-2024-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,215.0,2025-02-16T01:48:41Z,178.0,2025-02-25T06:10:01Z,286,767,185.0,206,0.082159,46382,-0.048,486,210,2024-12-14
8,Photon Dust (Women's),nike-dunk-low-photon-dust-w,Nike Dunk Low Photon Dust (Women's),Nike,"The women's Nike Dunk Low Photon Dust (W) is made of white leather with Photon Dust leather overlays and Swooshes. A woven Nike label on the tongue and embroidered Nike branding completes the design.

The women's Nike Dunk Low Photon Dust (W) released in May of 2021 and retailed for $100.",Nike Dunk Low,sneakers,https://images.stockx.com/images/Nike-Dunk-Low-Photon-Dust-W-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/Nike-Dunk-Low-Photon-Dust-W-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,106.0,2025-02-19T04:57:30Z,68.0,2025-02-25T06:15:09Z,14,428,80.0,89,0.089163,45438,-0.27,145,70,2021-05-19
9,Slate Marine,adidas-yeezy-slide-slate-marine,adidas Yeezy Slide Slate Marine,adidas,"The adidas Yeezy Slide in Slate Marine showcases an unprecedented combination of style and comfort. The slate marine colorway released on August 11, 2023. A deviation from the norm, this slide presents a sculpted yet sleek design, dominated by a bold, Slate Marine hue.
<br>
<br>
This slide comes dressed in a captivating Slate Marine color scheme. The minimalistic approach  creates a modern silhouette that's both trendy and comfortable. The slides feature a characteristic adidas marking on the footbed, as well as the Yeezy imprint subtly incorporated, adding a splash of exclusivity to your step.
<br>
<br>
What we love about the Yeezy Slide design is the cloud-like cushioning that effortlessly molds to your foot, offering an unparalleled comfort experience. This cool slide effortlessly blends comfort with chic aesthetics. The adidas Yeezy Slide in Slate Marine was launched on August 11, 2023, retailing at a cool $70.",adidas Yeezy Slide,sneakers,https://images.stockx.com/images/adidas-Yeezy-Slide-Slate-Marine-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/adidas-Yeezy-Slide-Slate-Marine-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,84.0,2025-02-25T01:43:32Z,86.0,2025-02-25T06:05:17Z,18,554,95.0,90,0.092235,43276,0.171,250,79,2024-05-27
